"ingredient code","Ingredient description","Nutrient code","Nutrient value","Nutrient value source","FDC ID","Derivation code","SR AddMod year","Foundation year acquired","Start date","End date"
"1001","Butter, stick, salted","203","0.85","SR Legacy","173410","","1976","0","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","204","82.2","Foundation","790508","A","","2019","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","205","0.06","SR Legacy","173410","NC","1976","0","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","208","743.0","Informed by FDC Foundation and SR Legacy","","","","0","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","221","0.0","SR Legacy","173410","","1985","0","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","255","15.8","Foundation","790508","A","","2019","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","262","0.0","SR Legacy","173410","Z","2001","0","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","263","0.0","SR Legacy","173410","Z","2001","0","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","269","0.58","Foundation","790508","AS","","0","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","291","0.0","SR Legacy","173410","","","0","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","301","21.0","Foundation","790508","A","","2019","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","303","0.06","Foundation","790508","A","","2019","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","304","2.0","Foundation","790508","A","","2019","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","305","22.0","Foundation","790508","A","","2019","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","306","23.0","Foundation","790508","A","","2019","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","307","524.0","Foundation","790508","A","","2019","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","309","0.07","Foundation","790508","A","","2019","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","312","0.006","Foundation","790508","A","","2019","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","317","0.0","Foundation","790508","A","","2019","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","319","744.0","Foundation","790508","A","","2019","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","320","758.0","Foundation","790508","NC","","0","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","321","168.0","Foundation","790508","A","","2019","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","322","2.0","Foundation","790508","A","","2019","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","323","0.0","Foundation","790508","A","","2019","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","328","0.4","Foundation","790508","AS","","0","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","334","8.0","Foundation","790508","A","","2019","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","337","0.0","SR Legacy","173410","A","2002","0","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","338","0.0","SR Legacy","173410","A","2002","0","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","401","0.0","SR Legacy","173410","","1976","0","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","404","0.005","SR Legacy","173410","","1976","0","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","405","0.0","Foundation","790508","A","","2019","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","406","0.0","Foundation","790508","A","","2019","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","415","0.0","Foundation","790508","A","","2019","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","417","5.0","Foundation","790508","A","","2019","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","418","0.0","Foundation","790508","A","","2019","2019-01-0","2020-12-3"
"1001","Butter, stick, salted","421","18.8","SR Legacy","173410","","2006","0","2019-01-0","2020-12-3"
