"id","fdc_id","nutrient_id","amount","data_points","derivation_id","min","max","median","footnote","min_year_acquired"
"28540528","2340760","221","0.0","","","","","","",""
"28540547","2340760","323","0.08","","","","","","",""
"28540565","2340760","578","0.0","","","","","","",""
"28540554","2340760","405","0.036","","","","","","",""
"28540549","2340760","334","0.0","","","","","","",""
"28540530","2340760","262","0.0","","","","","","",""
"28540580","2340760","621","0.0","","","","","","",""
"28540566","2340760","601","14.0","","","","","","",""
"28540588","2340760","646","0.497","","","","","","",""
"28540546","2340760","322","0.0","","","","","","",""
"28540542","2340760","317","1.8","","","","","","",""
"28540535","2340760","303","0.03","","","","","","",""
"28540576","2340760","617","1.475","","","","","","",""
"28540562","2340760","432","5.0","","","","","","",""
"28540539","2340760","307","17.0","","","","","","",""
"28540560","2340760","430","0.3","","","","","","",""
"28540537","2340760","305","14.0","","","","","","",""
"28540548","2340760","328","0.1","","","","","","",""
"28540585","2340760","630","0.0","","","","","","",""
"28540572","2340760","611","0.256","","","","","","",""
"28540581","2340760","626","0.129","","","","","","",""
"28540543","2340760","319","60.0","","","","","","",""
"28540564","2340760","573","0.0","","","","","","",""
"28540551","2340760","338","0.0","","","","","","",""
"28540558","2340760","418","0.05","","","","","","",""
"28540574","2340760","613","0.919","","","","","","",""
"28540532","2340760","269","6.89","","","","","","",""
"28540541","2340760","312","0.052","","","","","","",""
"28540534","2340760","301","32.0","","","","","","",""
"28540586","2340760","631","0.0","","","","","","",""
"28540569","2340760","608","0.0","","","","","","",""
"28540563","2340760","435","5.0","","","","","","",""
"28540555","2340760","406","0.177","","","","","","",""
"28540567","2340760","606","2.009","","","","","","",""
"28540568","2340760","607","0.0","","","","","","",""
"28540525","2340760","204","4.38","","","","","","",""
"28540553","2340760","404","0.014","","","","","","",""
"28540559","2340760","421","16.0","","","","","","",""
"28540527","2340760","208","70.0","","","","","","",""
"28540587","2340760","645","1.658","","","","","","",""
"28540579","2340760","620","0.026","","","","","","",""
"28540545","2340760","321","7.0","","","","","","",""
"28540550","2340760","337","0.0","","","","","","",""
"28540575","2340760","614","0.293","","","","","","",""
"28540538","2340760","306","51.0","","","","","","",""
"28540584","2340760","629","0.0","","","","","","",""
"28540570","2340760","609","0.0","","","","","","",""
"28540524","2340760","203","1.03","","","","","","",""
"28540552","2340760","401","5.0","","","","","","",""
"28540578","2340760","619","0.052","","","","","","",""
"28540557","2340760","417","5.0","","","","","","",""
"28540561","2340760","431","0.0","","","","","","",""
"28540582","2340760","627","0.0","","","","","","",""
"28540583","2340760","628","0.04","","","","","","",""
"28540540","2340760","309","0.17","","","","","","",""
"28540526","2340760","205","6.89","","","","","","",""
"28540544","2340760","320","61.0","","","","","","",""
"28540556","2340760","415","0.011","","","","","","",""
"28540531","2340760","263","0.0","","","","","","",""
"28540573","2340760","612","0.321","","","","","","",""
"28540536","2340760","304","3.0","","","","","","",""
"28540571","2340760","610","0.063","","","","","","",""
"28540577","2340760","618","0.374","","","","","","",""
"28540529","2340760","255","87.5","","","","","","",""
"28540533","2340760","291","0.0","","","","","","",""
"28540639","2340761","613","0.576","","","","","","",""
"28540647","2340761","627","0.0","","","","","","",""
"28540633","2340761","607","0.046","","","","","","",""
"28540600","2340761","303","0.0","","","","","","",""
"28540623","2340761","418","0.56","","","","","","",""
"28540598","2340761","291","0.0","","","","","","",""
"28540622","2340761","417","1.0","","","","","","",""
"28540602","2340761","305","103.0","","","","","","",""
"28540591","2340761","205","4.83","","","","","","",""
"28540606","2340761","312","0.001","","","","","","",""
"28540609","2340761","320","58.0","","","","","","",""
"28540630","2340761","578","0.0","","","","","","",""
"28540628","2340761","435","1.0","","","","","","",""
"28540638","2340761","612","0.204","","","","","","",""
