canonical_id,canonical_name,domain,food_group,source_dataset,fdc_id,source,match_status,reported_nutrients,missing_nutrients,unknown_nutrients,nonzero_reported_nutrients,zero_reported_nutrients,total_nutrients,reported_ratio,nonzero_reported_ratio,missing_nutrient_keys,unknown_nutrient_keys,reported_zero_nutrient_keys
ground-goat,Ground goat,Animal foods,Ground meats,sr_legacy_food,175303,usda,curated,13,8,0,11,2,21,0.619,0.5238,vitamin_d_ug|vitamin_e_mg|vitamin_k_ug|vitamin_b5_mg|vitamin_b6_mg|vitamin_b7_ug|magnesium_mg|omega3_g,,vitamin_a_ug|vitamin_c_mg
lion-s-mane,Lion's mane,Fungi,Mushrooms,foundation_food,1999626,usda,curated,14,7,0,13,1,21,0.6667,0.619,vitamin_a_ug|vitamin_c_mg|vitamin_e_mg|vitamin_k_ug|vitamin_b5_mg|vitamin_b12_ug|omega3_g,,calcium_mg
hemp,Hemp,Plant foods,Seeds,sr_legacy_food,170148,usda,curated,14,7,0,14,0,21,0.6667,0.6667,vitamin_d_ug|vitamin_k_ug|vitamin_b5_mg|vitamin_b7_ug|vitamin_b12_ug|selenium_ug|omega3_g,,
soba-noodles,Soba noodles,Plant foods,Flour-made items,sr_legacy_food,168906,usda,curated,16,5,0,12,4,21,0.7619,0.5714,vitamin_e_mg|vitamin_k_ug|vitamin_b7_ug|selenium_ug|omega3_g,,vitamin_a_ug|vitamin_c_mg|vitamin_d_ug|vitamin_b12_ug
chia,Chia,Plant foods,Seeds,canadian_nutrient_file,cnf-2511,supplemental,curated,16,5,0,14,2,21,0.7619,0.6667,vitamin_k_ug|vitamin_b5_mg|vitamin_b6_mg|vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
shank,Shank,Animal foods,Beef cuts,sr_legacy_food,169441,usda,curated,16,5,0,14,2,21,0.7619,0.6667,vitamin_d_ug|vitamin_e_mg|vitamin_k_ug|vitamin_b7_ug|omega3_g,,vitamin_a_ug|vitamin_c_mg
beef-pancreas,Beef pancreas,Animal foods,Animal organs,sr_legacy_food,169452,usda,curated,16,5,0,15,1,21,0.7619,0.7143,vitamin_d_ug|vitamin_e_mg|vitamin_k_ug|vitamin_b7_ug|omega3_g,,vitamin_a_ug
beef-spleen,Beef spleen,Animal foods,Animal organs,sr_legacy_food,169454,usda,curated,16,5,0,15,1,21,0.7619,0.7143,vitamin_d_ug|vitamin_e_mg|vitamin_k_ug|vitamin_b7_ug|omega3_g,,vitamin_a_ug
pork-brain,Pork brain,Animal foods,Animal organs,sr_legacy_food,168264,usda,curated,16,5,0,15,1,21,0.7619,0.7143,vitamin_d_ug|vitamin_e_mg|vitamin_k_ug|vitamin_b7_ug|omega3_g,,vitamin_a_ug
turkey-egg,Turkey egg,Animal foods,Eggs,sr_legacy_food,172192,usda,curated,16,5,0,15,1,21,0.7619,0.7143,vitamin_d_ug|vitamin_e_mg|vitamin_k_ug|vitamin_b7_ug|omega3_g,,vitamin_c_mg
