nutrient_key,nutrient_label,unit,Ground beef (30% fat),Ground beef (20% fat),Ground beef (15% fat),Ground beef (10% fat),Ground beef (7% fat),Ground beef (4% fat),Ground bison,Ground lamb,Ground goat,Ground pork,Ground chicken,Ground turkey,Ground duck,Ribeye,Strip steak,Tenderloin,Sirloin,Flank,Skirt,Hanger,Chuck,Brisket,Short ribs,Back ribs,Round,Shank,Oxtail,Plate,Stew meat,Leg (lamb/goat),Shoulder (lamb/goat),Rack (lamb/goat),Chop (lamb/goat),Shank (lamb/goat),Pork loin,Pork tenderloin,Pork shoulder,Pork chop,Pork belly,Pork ribs,Fresh ham,Pork shank,Pork jowl,Whole chicken,Chicken breast,Chicken thigh,Chicken drumstick,Chicken wing,Whole turkey,Turkey breast,Turkey thigh,Whole duck,Duck breast,Duck leg,Atlantic salmon,Sockeye salmon,Coho salmon,Chinook salmon,Sardine,Tuna (skipjack),Tuna (albacore),Tuna (yellowfin),Cod,Haddock,Pollock,Halibut,Mackerel,Herring,Trout,Tilapia,Catfish,Anchovy,Shrimp,Prawn,Scallop,Mussel,Clam,Oyster,Crab,Lobster,Squid,Octopus,Beef liver,Beef heart,Beef kidney,Beef tongue,Beef brain,Beef spleen,Beef pancreas,Beef thymus (sweetbreads),Beef tripe,Lamb liver,Lamb heart,Lamb kidney,Pork liver,Pork heart,Pork kidney,Pork brain,Pork stomach,Chicken liver,Chicken heart,Chicken gizzard,Chicken egg,Egg white,Egg yolk,Scrambled egg (chicken),Fried egg (chicken),Duck egg,Turkey egg,Quail egg,Cow's milk,Cow's milk (2%),Cow's milk (1%),Cow's milk (skim),Goat milk,Sheep milk,Half and half,Light cream,Heavy cream,Butter,Ghee,Yogurt (plain),"Yogurt (plain, lowfat)","Yogurt (plain, nonfat)",Kefir (plain),Cottage cheese,Cheddar,Gouda,Gruyere,Parmesan,Mozzarella,Feta,Swiss,Beef tallow,Lamb tallow,Pork lard,Duck fat,Chicken fat,American cheese,Processed cheese slices,Cream cheese,Sour cream,Broccoli,Cauliflower,Cabbage,Brussels sprouts,Kale,Bok choy,Arugula,Radish,Turnip,Rutabaga,Mustard greens,Carrot,Celery,Parsnip,Fennel,Parsley,Dill,Cilantro,Garlic,Onion,Shallot,Leek,Scallion,Chive,Potato,Tomato,Bell pepper,Chili pepper,Eggplant,Zucchini,Cucumber,Pumpkin,Butternut squash,Acorn squash,Spaghetti squash,Watermelon,Spinach,Beet,Swiss chard,Quinoa,Amaranth,Lettuce,Endive,Radicchio,Artichoke,Lentil,Chickpea,Black bean,Kidney bean,Pinto bean,Soybean,Pea,Green bean,White rice,Brown rice,Wild rice,Oats,Wheat,Barley,Rye,Corn,Millet,Sweet potato,Yam,Cassava,Taro,Ginger,Turmeric,Apple,Banana,Orange,Tangerine,Lemon,Lime,Strawberry,Blueberry,Raspberry,Kiwi,Avocado,Olive,Mango,Pineapple,Papaya,Grapes,Pear,Peach,Apricot,Almond,Walnut,Pecan,Macadamia,Hazelnut,Pistachio,Brazil nut,Cashew,Pumpkin seed,Sunflower seed,Sesame,Chia,Flax,Hemp,Pine nut,Olive oil,Avocado oil,Coconut oil,Sesame oil,Palm oil,Bread,Whole wheat bread,Sourdough bread,Pita,Naan,Noodles,Soba noodles,Pasta,Sourdough pasta,Canola oil,Soybean oil,Sunflower oil,Safflower oil,Corn oil,Grapeseed oil,Peanut oil,Rice bran oil,Vegetable oil,White bread,Rye bread,Bagel,Tortilla (flour),Tortilla (corn),Hamburger bun,Hot dog bun,Sandwich roll,Bread crumbs,Panko,Crackers (plain),Rice cakes,Rice noodles,Udon noodles,Ramen noodles,Egg noodles,Whole wheat pasta,Couscous,Bulgur,Peanut butter,Almond butter,Tahini,Sunflower seed butter,Jam,Honey,Maple syrup,Tomato sauce,Tomato paste,Canned tomatoes,Coconut milk,Broth,Ketchup,Mustard,Mayonnaise,Soy sauce,Vinegar,Apple cider vinegar,Hot sauce,Pickles,White mushroom,Cremini,Portobello,Shiitake,Oyster mushroom,Maitake,Lion's mane,Nori,Kelp,Wakame,Dulse,Spirulina,Chlorella,Sauerkraut,Kimchi,Tempeh,Miso,Natto
vitamin_a_ug,Vitamin A,ug,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported
vitamin_c_mg,Vitamin C,mg,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported
vitamin_d_ug,Vitamin D,ug,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,missing,reported,reported,missing,reported,reported,missing,missing,missing,missing,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported
vitamin_e_mg,Vitamin E,mg,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,missing,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported
vitamin_k_ug,Vitamin K,ug,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,missing,missing,reported,reported,missing,missing,reported,missing,missing,missing,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,missing,reported,reported,reported,reported,reported,missing,reported,missing,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported
thiamin_mg,Thiamin (B1),mg,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported
riboflavin_mg,Riboflavin (B2),mg,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported
niacin_mg,Niacin (B3),mg,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported
vitamin_b5_mg,Pantothenic acid (B5),mg,reported,reported,reported,reported,reported,reported,missing,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported
vitamin_b6_mg,Vitamin B6,mg,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,missing,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported
