nutrient_key,nutrient_label,unit,Ground beef (30% fat),Ground beef (20% fat),Ground beef (15% fat),Ground beef (10% fat),Ground beef (7% fat),Ground beef (4% fat),Ground bison,Ground lamb,Ground goat,Ground pork,Ground chicken,Ground turkey,Ground duck,Ribeye,Strip steak,Tenderloin,Sirloin,Flank,Skirt,Hanger,Chuck,Brisket,Short ribs,Back ribs,Round,Shank,Oxtail,Plate,Stew meat,Leg (lamb/goat),Shoulder (lamb/goat),Rack (lamb/goat),Chop (lamb/goat),Shank (lamb/goat),Pork loin,Pork tenderloin,Pork shoulder,Pork chop,Pork belly,Pork ribs,Fresh ham,Pork shank,Pork jowl,Whole chicken,Chicken breast,Chicken thigh,Chicken drumstick,Chicken wing,Whole turkey,Turkey breast,Turkey thigh,Whole duck,Duck breast,Duck leg,Atlantic salmon,Sockeye salmon,Coho salmon,Chinook salmon,Sardine,Tuna (skipjack),Tuna (albacore),Tuna (yellowfin),Cod,Haddock,Pollock,Halibut,Mackerel,Herring,Trout,Tilapia,Catfish,Anchovy,Shrimp,Prawn,Scallop,Mussel,Clam,Oyster,Crab,Lobster,Squid,Octopus,Beef liver,Beef heart,Beef kidney,Beef tongue,Beef brain,Beef spleen,Beef pancreas,Beef thymus (sweetbreads),Beef tripe,Lamb liver,Lamb heart,Lamb kidney,Pork liver,Pork heart,Pork kidney,Pork brain,Pork stomach,Chicken liver,Chicken heart,Chicken gizzard,Chicken egg,Egg white,Egg yolk,Scrambled egg (chicken),Fried egg (chicken),Duck egg,Turkey egg,Quail egg,Cow's milk,Cow's milk (2%),Cow's milk (1%),Cow's milk (skim),Goat milk,Sheep milk,Half and half,Light cream,Heavy cream,Butter,Ghee,Yogurt (plain),"Yogurt (plain, lowfat)","Yogurt (plain, nonfat)",Kefir (plain),Cottage cheese,Cheddar,Gouda,Gruyere,Parmesan,Mozzarella,Feta,Swiss,Beef tallow,Lamb tallow,Pork lard,Duck fat,Chicken fat,American cheese,Processed cheese slices,Cream cheese,Sour cream,Broccoli,Cauliflower,Cabbage,Brussels sprouts,Kale,Bok choy,Arugula,Radish,Turnip,Rutabaga,Mustard greens,Carrot,Celery,Parsnip,Fennel,Parsley,Dill,Cilantro,Garlic,Onion,Shallot,Leek,Scallion,Chive,Potato,Tomato,Bell pepper,Chili pepper,Eggplant,Zucchini,Cucumber,Pumpkin,Butternut squash,Acorn squash,Spaghetti squash,Watermelon,Spinach,Beet,Swiss chard,Quinoa,Amaranth,Lettuce,Endive,Radicchio,Artichoke,Lentil,Chickpea,Black bean,Kidney bean,Pinto bean,Soybean,Pea,Green bean,White rice,Brown rice,Wild rice,Oats,Wheat,Barley,Rye,Corn,Millet,Sweet potato,Yam,Cassava,Taro,Ginger,Turmeric,Apple,Banana,Orange,Tangerine,Lemon,Lime,Strawberry,Blueberry,Raspberry,Kiwi,Avocado,Olive,Mango,Pineapple,Papaya,Grapes,Pear,Peach,Apricot,Almond,Walnut,Pecan,Macadamia,Hazelnut,Pistachio,Brazil nut,Cashew,Pumpkin seed,Sunflower seed,Sesame,Chia,Flax,Hemp,Pine nut,Olive oil,Avocado oil,Coconut oil,Sesame oil,Palm oil,Bread,Whole wheat bread,Sourdough bread,Pita,Naan,Noodles,Soba noodles,Pasta,Sourdough pasta,Canola oil,Soybean oil,Sunflower oil,Safflower oil,Corn oil,Grapeseed oil,Peanut oil,Rice bran oil,Vegetable oil,White bread,Rye bread,Bagel,Tortilla (flour),Tortilla (corn),Hamburger bun,Hot dog bun,Sandwich roll,Bread crumbs,Panko,Crackers (plain),Rice cakes,Rice noodles,Udon noodles,Ramen noodles,Egg noodles,Whole wheat pasta,Couscous,Bulgur,Peanut butter,Almond butter,Tahini,Sunflower seed butter,Jam,Honey,Maple syrup,Tomato sauce,Tomato paste,Canned tomatoes,Coconut milk,Broth,Ketchup,Mustard,Mayonnaise,Soy sauce,Vinegar,Apple cider vinegar,Hot sauce,Pickles,White mushroom,Cremini,Portobello,Shiitake,Oyster mushroom,Maitake,Lion's mane,Nori,Kelp,Wakame,Dulse,Spirulina,Chlorella,Sauerkraut,Kimchi,Tempeh,Miso,Natto
vitamin_a_ug,Vitamin A,ug,4,4,4,4,4,4,0,0,0,0,0,20,50,2,4,0,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,10,0,0,2,0,0,0,3,0,2,3,3,41,24,23,14,18,3939,0,13,50,24,24,58,49,40,26,32,16,655,18,12,17,14,14,39,28,84,0,0,15,54,54,1,48,90,13,1,1,10,45,4968,0,419,0,6,0,0,19,0,7391,5,61,6502,8,78,0,0,3296,9,0,55,0,381,161,219,194,166,156,46,55,58,61,57,44,12,120,411,684,684,14,90,0,171,68,263,165,271,207,179,125,306,0,0,0,0,0,317,250,308,124,31,0,5,38,241,223,119,0,579,0,151,3423,22,0,48,421,6,337,0,0,0,83,50,218,0,42,18,48,1,10,4,426,532,18,6,28,469,316,306,1,0,375,108,1,1,2,2,0,0,0,1,38,35,0,0,1,772,0,1,1,0,0,709,7,1,4,0,0,3,3,11,34,1,2,1,3,2,4,7,17,54,3,47,5,1,16,96,0,1,3,0,1,26,0,0,1,3,3,2,0,1,1,0,0,0,0,9,24,0,0,0,2.758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,29,10,0,0,0,0,0,1,17,0,0,0,0,0,3,0,10,0,0,22,76,11,0,0,26,151,2,0,0,0,8,10,0,0,0,0,2,0,0,3428.7,6,18,214.2,3,17499.3,1,5,0,4,0
vitamin_c_mg,Vitamin C,mg,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.6,0,0,0,0.3,0,0.9,0,0,1.6,0,0,0,1.2,0,0,0,2.8,5.8,5.8,3.9,0,1,0,0,1,0,0,1,0,0,0,1.6,0.7,2.9,0,0,0,0,0,0,8,0,0,3.3,0,4.7,5,1.3,0,9.4,1.3,10.5,45.5,13.7,0,0,4,0,0,25.3,5.3,10.6,13.5,0,17.9,3.2,0,11.2,0,0,0,0,0,0,0,0,0.2,0,0,1.3,4.2,0.7,0.8,0.6,0,0,0.8,0.8,0.3,0.2,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0.9,89.2,48.2,36.6,85,93.4,45,15,22,60,25,70,14.6,3.1,17,12,133,2.3,27,31.2,7.4,8,12,18.8,58.1,19.7,13.7,80.4,143.7,2.2,17.9,3.2,9,21,11,2.1,8.1,28.1,30,30,0,4.2,3.7,6.5,8,11.7,4.5,0,0,4.5,6.3,6,40,12.2,0,0,0,0,0,0,0,6.8,0,2.4,17.1,20.6,4.5,5,0.7,4.6,8.7,53.2,26.7,53,29.1,58.8,9.7,26.2,92.7,10,0.9,36.4,47.8,60.9,4,4.3,6.6,10,0,1.3,1.1,1.2,6.3,5.6,0.7,0.5,1.9,1.4,0,1.6,0.6,0.5,0.8,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,1.3,1.3,1.3,2.7,0,0,0,0,0,0.3,0,0,0,0,0,0,0,2.7,8.8,0.5,0,7,21.9,9.2,2.8,0,4.1,70,0,0,0,0,74.8,1,2.1,0,0,0,0,0,0,17.1,3,3,8.6,0.9,20,14.7,0,0,0,13
vitamin_d_ug,Vitamin D,ug,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0,0.4,0.7,0.1,0.1,0.3,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0,0,0.1,0.1,0.1,0.1,0,0.05,0.1,0.5,0.2,0.6,0.4,0.3,0.5,0.6,0.3,0,0.2,0.4,0.1,0.1,0.1,0.8,0.2,0.3,0.7,0.1,0.1,11,14.1,9,17.1,4.8,0,5.7,1.7,0.9,0.5,1,27.4,7.3,4.2,15.9,3.1,0.2,0.63,0.1,0.1,0,0,0,0,0,0,0,0,1.2,0.1,1.125,0.4,0,0,0,0.6,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,5.4,1.8,2.2,1.7,0,1.4,1.3,1.2,1.2,1.2,1.3,0,0,1.1,1.6,0,1.5,0,0,1,1,0,1,0.5,0.6,0.5,0.4,0.4,0,0.7,0.7,2.5,4.8,4.8,7.5,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0.3,0.5,0.7,28.1,0.0212,0,0,0,0,0,0,0,0,0,0,0
vitamin_e_mg,Vitamin E,mg,0.17,0.17,0.17,0.17,0.17,0.17,0.19,0.2,0,0.29,0.27,0.09,0.7,0.18,0.22,0.47,0.28,0.31,0.17,0.14,0.15,0.17,0.17,0.1,0.3,0,0.13,0.17,0.15,0.15,0.22,0.45,0.13,0.18,0.18,0.22,0.24,0.13,0.39,0.25,0.17,0.29,0.29,0.3,0.27,0.21,0.19,0.13,0.25,0.13,0.12,0.7,0.7,0.7,3.55,0.83,0.73,1.35,2.04,0,1,0.24,0.64,0.45,0.23,0.73,0.69,1.07,2.34,0.4,0.81,0.57,1.32,1.32,0,0.55,0.68,0.85,1.84,0.87,1.2,1.2,0.38,0.29,0.22,0.3,1.67,0,0,0.69,0.09,0.77,0.65,0.42,0.33,0.63,0.36,0,0.04,0.7,0.08,0.2,0.37,0,2.58,1.15,1.31,1.34,0,1.08,0.07,0.03,0.01,0.01,0.07,0,0.04,0.12,0.92,2.32,2.32,0.03,0.04,0.02,0.02,0.08,0.78,0.24,0.28,0.22,0.19,0.18,1.89,2.7,2.8,0.6,2.7,2.7,0.8,0.8,0.86,0.38,0.78,0.08,0.15,0.88,0.66,0.09,0.43,0,2.86,0.3,2.01,5.45,0.27,1.49,0.58,0.75,0.03,2.5,0.08,0.02,0.04,0.92,0.55,0.21,0.01,0.54,0.37,0.69,0.3,0.12,0.03,1.06,1.44,0.12,0.13,0.05,2.03,1.5,1.89,2.44,1.19,0.15,0.44,2.26,0.19,0.49,0.83,0.21,0.22,0.21,0.85,0.13,0.41,0.11,0.6,0.82,0.51,1.01,0.57,0.85,0.07,0.05,0.26,0.35,0.19,2.38,0.26,4.43,0.18,0.1,0.18,0.2,0.15,0.22,0.29,0.57,0.87,1.46,2.07,1.65,0.9,0.02,0.3,0.19,0.12,0.73,0.89,25.63,0.7,1.4,0.54,15.03,2.86,5.65,0.9,2.18,35.17,1.68,0.5,0.31,0.8,9.33,14.78,14.12,0.11,1.4,2.91,0.47,2.66,0.21,0.3,0.79,0.13,0,0.11,0.11,17.46,8.18,41.08,34.1,14.3,28.8,15.69,32.3,3.81,0.22,0.33,7.46,0,0.28,0.27,0.27,0.27,0.26,0.22,0.06,1.24,0.03,0,2.44,0.37,1.41,0.13,0.01,9.04,24.21,0.25,22.89,0.13,0,0,1.44,4.3,1.25,0.15,0.01,1.46,2.01,2.4,0,0,0,0.12,0.09,0.01,0.01,0.02,0,0,0.01,0,0,0.87,1,0,0.49,0,0.14,0.11,0,0.01,0.01
vitamin_k_ug,Vitamin K,ug,2.9,1.8,1.3,0.8,0.5,0.1,1.2,3.6,0,0,0.8,0,5.5,1.5,1.5,1.7,1.1,1.2,1.5,1.5,1.5,1.5,1.5,1.6,1.2,0,0.3,1.5,1.5,4.2,3.4,3.1,4.9,4.3,0,0,0,0,0,0,0,0,0,1.5,0,2.1,2.5,0,0,0,0,5.5,2.8,2.8,0.5,0.1,0.1,0.1,2.6,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.4,2.1,0.1,0.3,0.3,0,0.1,0.2,1,0.3,0,0,0.1,3.1,0.5,0,1.2,0.1,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,23.8,0,0.7,4,5.6,0.4,0,0.3,0.3,0.2,0.1,0,0.3,0,0.2,1.7,3.2,7,7,0.2,0.2,0,0.1,0,2.4,2.3,2.7,1.7,2.3,1.8,830,0,0,0,0,0,3.7,2.6,2.1,1.5,101.6,15.5,76,177,389.6,45.5,108.6,0.3,251,0.3,257.5,108,29.3,22.5,62.8,1640,17.3,310,1.7,0.4,0.8,47,207,212.7,2,7.9,7.4,14,3.5,4.3,7.2,1.1,1.1,0,0.9,0.1,482.9,400,830,0,0,140.3,231,255.2,14.8,5,9.1,5.6,19,5.6,47,24.8,43,0.1,0.6,1.9,1.9,1.9,2.2,5.9,0.3,0.9,1.8,2.3,1.9,1,0.1,13.4,2.2,0.5,0,0,0,0.6,2.2,19.3,7.8,40.3,21,1.4,4.2,0.7,2.6,14.6,4.4,2.6,3.3,0,2.7,3.5,0,14.2,0,0,34.1,7.3,0,0,0,4.3,0,53.9,21,0,0.6,13.6,4.3,6.8,7.8,0.7,0.2,0.229,0,0,0.1,0.1,71.3,183.9,5.4,7.1,1.9,0,0.7,24.7,24.7,0.2,1.2,0.2,7.2,0,4.8,4.8,4.8,46,0.2,0.3,1.9,0,0,8.9,0.5,27.2,0.1,0.5,0.6,0,0,0,0,0,0,2.8,11.4,5.3,0.1,0,3,257.5,53.4,0,0,0,2.4,47,0,0,0,0,0,0,0,0,66,5.3,0,2.5,0,13,43.6,0,29.3,23.1
thiamin_mg,Thiamin (B1),mg,0.044,0.043,0.042,0.042,0.041,0.041,0.141,0.11,0.11,0.414,0.109,0.066,0.197,0.13,0.055,0.072,0.075,0.06,0.055,0.058,0.08,0.07,0.08,0.109,0.095,0.1,0.008,0.055,0.08,0.1,0.11,0.067,0.12,0.05,0.989,0.998,0.558,0.51,0.396,0.394,0.875,0.522,0.386,0.06,0.063,0.073,0.083,0.059,0.149,0.038,0.06,0.197,0.36,0.36,0.207,0.132,0.113,0.023,0.08,0.033,0.241,0.118,0.076,0.02,0.047,0.06,0.13,0.092,0.12,0.041,0.02,0.055,0.02,0.02,0.007,0.16,0.015,0.018,0.023,0.02,0.02,0.03,0.189,0.101,0.357,0.022,0.069,0.05,0.14,0.087,0,0.34,0.52,0.413,0.283,0.613,0.396,0.155,0.051,0.305,0.152,0.026,0.24,0.004,0.176,0.04,0.044,0.156,0.11,0.13,0.046,0.039,0.02,0.045,0.048,0.065,0.056,0.023,0.02,0.005,0.005,0.044,0.044,0.037,0.03,0.02,0.027,0.03,0.06,0.039,0.03,0.154,0.04,0,0,0,0,0,0.015,0.015,0.023,0.02,0.071,0.05,0.061,0.139,0.113,0.04,0.044,0.02,0.07,0.09,0.08,0.534,0.021,0.09,0.01,0.086,0.045,0.067,0.2,0.046,0.06,0.06,0.055,0.078,0.081,0.037,0.057,0.072,0.039,0.045,0.031,0.05,0.1,0.14,0.037,0.033,0.078,0.1,0.04,0.36,0.116,0.064,0.08,0.016,0.072,0.873,0.486,0.9,0.529,0.713,0.874,0.266,0.082,0.07,0.541,0.115,0.445,0.387,0.646,0.316,0.2,0.421,0.078,0.112,0.087,0.095,0.025,0.058,0.017,0.031,0.087,0.058,0.04,0.03,0.024,0.037,0.032,0.027,0.067,0.003,0.028,0.079,0.023,0.092,0.012,0.024,0.03,0.205,0.341,0.66,1.195,0.643,0.87,0.617,0.423,0.273,1.48,0.699,0.62,1.644,1.275,0.364,0,0,0,0,0.047,0.188,0.394,0.71,0.599,0.78,0.15,0.48,0.09,0.09,0,0,0,0,0,0,0,0,0,0.533,0.434,0.568,0.503,0.094,0.543,0.543,0.543,0.961,0.533,0.387,0.061,0.018,0.101,0.448,1.133,0.182,0.063,0.057,0.27,0.041,1.22,0.053,0,0,0.066,0.024,0.06,0.075,0.026,0.006,0.011,0.08,0.05,0.059,0,0,0.036,0,0.081,0.095,0.059,0.099,0.125,0.146,0.1463,0,0.05,0.06,0,0.222,0,0.021,0.01,0.078,0.098,0.16
riboflavin_mg,Riboflavin (B2),mg,0.151,0.151,0.151,0.151,0.151,0.151,0.246,0.21,0.49,0.368,0.241,0.156,0.21,0.278,0.203,0.128,0.12,0.106,0.285,0.299,0.17,0.165,0.2,0.346,0.163,0.22,0.005,0.285,0.17,0.27,0.21,0.186,0.36,0.19,0.267,0.342,0.384,0.198,0.242,0.271,0.228,0.343,0.236,0.12,0.085,0.145,0.195,0.101,1.393,0.145,0.247,0.21,0.45,0.45,0.155,0.207,0.14,0.101,0.227,0.1,0.251,0.115,0.065,0.057,0.185,0.08,0.17,0.233,0.09,0.063,0.083,0.256,0.015,0.015,0.015,0.21,0.04,0.09,0.093,0.014,0.412,0.04,2.755,1.21,2.84,0.294,0.217,0.37,0.445,0.122,0.064,3.63,0.537,1.279,3.005,1.185,1.586,0.275,0.201,1.778,0.728,0.21,0.17,0.439,0.528,0.376,0.495,0.404,0.47,0.79,0.169,0.185,0.185,0.182,0.138,0.355,0.237,0.19,0.188,0.034,0.034,0.214,0.233,0.253,0.135,0.251,0.434,0.334,0.279,0.332,0.283,0.844,0.09,0,0,0,0,0,0.234,0.234,0.23,0.168,0.117,0.06,0.04,0.09,0.347,0.07,0.086,0.02,0.1,0.04,0.11,0.417,0.057,0.05,0.032,0.098,0.057,0.162,0.11,0.027,0.02,0.03,0.08,0.115,0.032,0.019,0.028,0.086,0.037,0.094,0.025,0.11,0.02,0.01,0.018,0.021,0.189,0.22,0.09,0.318,0.2,0.077,0.075,0.028,0.066,0.211,0.106,0.193,0.219,0.212,0.87,0.132,0.104,0.049,0.095,0.262,0.05,0.108,0.285,0.251,0.06,0.29,0.061,0.032,0.048,0.025,0.034,0.15,0.026,0.073,0.04,0.036,0.02,0.02,0.022,0.041,0.038,0.025,0.13,0,0.038,0.032,0.027,0.057,0.026,0.031,0.04,1.138,0.15,0.13,0.162,0.113,0.16,0.035,0.058,0.153,0.355,0.09,0.17,0.161,0.285,0.227,0,0,0,0,0.06,0.106,0.167,0.427,0.327,0.51,0,0.13,0.06,0.06,0,0,0,0,0,0,0,0,0,0.243,0.335,0.344,0.282,0.065,0.297,0.297,0.297,0.415,0.243,0.291,0.165,0.004,0.026,0.255,0.426,0.021,0.027,0.028,0.06,0.939,0.473,0.163,0.022,0.038,1.27,0.065,0.153,0.052,0,0.046,0.166,0.11,0.04,0.152,0,0,0.082,0.01,0.402,0.49,0.13,0.274,0.349,0.242,0.3631,0,0.15,0.23,0,0.342,0,0.022,0.21,0.358,0.233,0.19
niacin_mg,Niacin (B3),mg,3.382,4.227,4.649,5.072,5.325,5.663,5.322,5.96,3.75,7.914,5.575,6.733,3.934,5.538,7.85,7.041,6.469,7.353,5.282,5.439,5.19,6.452,3.567,5.882,6.901,5.74,0.079,5.282,5.19,6.59,5.66,6.019,7.93,5.46,4.915,6.684,4.387,6.934,4.647,3.097,5.338,6.273,4.535,6.801,9.908,4.625,4.841,7.359,8.694,7.15,5.745,3.934,5.3,5.3,8.672,8.507,7.23,4.72,5.245,15.4,8.654,18.475,2.063,3.363,3.27,1.5,2.3,3.217,5.567,3.903,2.105,14.024,1.778,1.778,0.703,1.6,0.35,0.925,2.747,1.591,2.175,2.1,13.175,6.68,8.03,3.49,3.62,8.4,4.45,2,0.881,16.11,5.757,8.426,15.301,6.765,5.785,4.275,2.48,9.728,4.883,3.12,3.63,0.105,0.024,0.076,0.082,0.2,0.024,0.15,0.089,0.092,0.093,0.094,0.277,0.417,0.124,0.09,0.064,0.042,0.042,0.114,0.197,0.213,0.15,0.103,0.039,0.063,0.106,0.271,0.104,0.991,0.4,0,0,0,0,0,0.076,0.076,0.091,0.093,0.639,0.507,0.234,0.745,1.18,0.5,0.305,0.2,0.6,0.7,0.8,6.567,0.32,0.7,0.64,1.313,0.109,1.114,0.7,0.116,0.2,0.4,0.525,0.647,1.061,0.594,0.48,1.244,0.649,0.451,0.037,0.6,1.2,0.7,0.95,0.178,0.724,0.4,0.4,1.52,0.923,0.321,0.4,0.255,1.046,2.605,1.762,1.955,2.06,1.174,1.623,2.09,0.734,1.6,6.494,6.733,1.035,4.381,4.604,4.27,1.7,4.72,0.557,0.552,0.854,0.6,0.75,1.35,0.091,0.665,0.282,0.376,0.1,0.2,0.386,0.418,0.598,0.341,1.738,0.037,0.669,0.5,0.357,0.3,0.161,0.806,0.6,3.618,1.125,1.167,2.473,1.8,1.3,0.295,1.062,4.987,8.335,5.8,8.83,3.08,9.2,4.387,0,0,0,0,1.615,1.25,4.438,4.817,4.632,5.84,0.2,3.21,1.7,1.7,0,0,0,0,0,0,0,0,0,4.78,3.805,4.515,4.415,1.498,4.18,4.18,4.18,6.161,4.78,3.892,7.806,0.072,0.875,5.401,8.387,4.63,0.983,1,14.6,3.155,5.45,6.747,0.036,0.121,0.081,0.991,3.076,1.222,0.76,2.23,1.434,0.8,0.09,3.951,0,0,0.254,0,3.607,3.8,4.494,3.87,4.956,6.585,1.626,0,0.47,1.6,0,1.196,0,0.143,1.1,2.64,0.906,0
vitamin_b5_mg,Pantothenic acid (B5),mg,0.395,0.498,0.549,0.601,0.632,0.673,0,0.65,0,0.646,1.092,0.993,0.951,0.53,0.77,0.522,0.654,0.647,0.64,0.61,0.67,0.68,0.74,0,0.675,0.35,0.011,0.64,0.67,0.68,0.68,0.366,0.5,0.63,0.781,0.846,1.567,0.732,0.256,1.737,0.805,0.622,0.25,0.91,0.804,0.19,1.034,0.836,3.889,0.32,0.935,0.951,1.6,1.6,1.547,1.07,0.823,0.87,0.642,0.42,1.054,0.28,0.153,0.403,0.358,0.25,0.75,0.645,1.667,0.487,0.67,0.645,0.31,0.31,0.215,0.5,0.148,0.223,0.997,1.449,0.5,0.5,7.173,1.6,3.97,0.745,1.21,1.081,3.9,0.6,0.227,6.13,2.244,3.207,6.65,2.515,2.873,2.8,1.22,6.233,2.559,0.468,0.66,0.19,2.99,1.217,1.66,1.862,1.889,1.761,0.373,0.356,0.361,0.357,0.31,0.407,0.459,0.44,0.495,0.11,0.11,0.591,0.47,0.358,0.385,0.524,0.481,0.34,0.562,0.453,0.141,0.967,0.172,0,0,0,0,0,0.403,0.403,0.517,0.472,0.573,0.667,0.212,0.309,0.37,0.088,0.437,0.138,0.38,0.16,0.21,1.471,0.246,0.6,0.232,0.4,0.201,0.57,0.596,0.123,0.29,0.14,0.075,0.324,0.295,0.089,0.099,0.201,0.281,0.204,0.24,0.298,0.4,0.4,0.36,0.221,0.065,0.25,0.172,0.772,1.457,0.144,0.9,0.269,0.338,2.14,0.606,0.899,0.78,0.785,0.793,0.104,0.225,1.014,1.065,1.074,1.2,0.954,0.282,1.456,0.76,0.848,0.8,0.314,0.107,0.303,0.203,0.542,0.061,0.334,0.25,0.216,0.19,0.217,0.125,0.124,0.329,0.183,1.389,0.015,0.197,0.213,0.191,0.024,0.049,0.153,0.24,0.471,0.57,0.863,0.758,0.918,0.52,0.184,0.864,0.75,1.13,0.29,0,0.985,0,0.313,0,0,0,0,0.201,0.817,0.646,0.455,0.397,0.445,0.1,0.954,0.431,0.431,0,0,0,0,0,0,0,0,0,0.536,0.44,0.407,0.562,0.109,0.555,0.555,0.555,0.623,0.536,0.443,1,0.011,0.491,0.438,0.912,0.832,0.371,0.344,1.066,0.318,0.693,1.167,0.02,0.068,0.036,0.309,0.142,0.278,0.183,0.04,0.047,0.21,0.124,0.376,0,0,0.11,0.038,1.497,1.5,1.14,1.36,1.294,0.27,0,0,0.642,0.697,0,0.325,0,0.093,0,0.278,0.337,0.215
vitamin_b6_mg,Vitamin B6,mg,0.278,0.323,0.346,0.369,0.383,0.401,0.383,0.13,0,0.668,0.512,0.564,0.19,0.479,0.37,0.554,0.628,0.596,0.44,0.438,0.568,0.617,0.311,0.567,0.666,0.47,0.01,0.44,0.568,0.15,0.13,0.156,0.11,0.1,0.527,0.777,0.521,0.742,0.13,0.577,0.5,0.531,0.09,0.35,0.53,0.347,0.345,0.53,0.654,0.41,0.425,0.19,0.34,0.34,0.636,0.731,0.549,0.278,0.167,0.85,0.455,0.933,0.245,0.281,0.287,0.42,0.4,0.302,0.34,0.162,0.154,0.143,0.161,0.161,0.073,0.05,0.01,0.031,0.156,0.104,0.056,0.36,1.083,0.245,0.665,0.155,0.143,0.07,0.2,0.041,0.014,0.9,0.144,0.173,0.69,0.39,0.46,0.19,0.034,0.853,0.36,0.071,0.287,0.005,0.35,0.134,0.184,0.25,0.131,0.15,0.036,0.038,0.037,0.037,0.046,0.06,0.062,0.044,0.035,0.003,0.003,0.049,0.055,0.05,0.058,0.057,0.075,0.08,0.081,0.091,0.037,0.424,0.099,0,0,0,0,0,0.054,0.054,0.056,0.041,0.175,0.184,0.124,0.219,0.147,0.194,0.073,0.046,0.263,0.1,0.18,1.04,0.074,0.09,0.047,0.09,0.035,0.149,1.235,0.12,0.345,0.233,0.061,0.138,0.298,0.08,0.224,0.506,0.084,0.163,0.051,0.061,0.154,0.154,0.101,0.045,0.195,0.106,0.099,0.487,0.591,0.1,0.02,0.057,0.116,0.54,0.492,0.286,0.397,0.474,0.377,0.169,0.141,0.164,0.477,0.391,0.08,0.368,0.318,0.294,0.055,0.384,0.209,0.293,0.088,0.283,0.16,0.107,0.041,0.367,0.06,0.078,0.08,0.043,0.047,0.052,0.055,0.063,0.257,0.009,0.119,0.112,0.038,0.11,0.029,0.025,0.054,0.137,0.537,0.21,0.275,0.563,1.7,0.101,0.417,0.143,1.345,0.4,0,0.473,0.6,0.094,0,0,0,0,0.31,0.232,0.215,0.107,0.034,0.095,0.05,0.24,0.142,0.142,0,0,0,0,0,0,0,0,0,0.087,0.075,0.07,0.059,0.219,0.063,0.063,0.063,0.171,0.087,0.115,0.15,0.006,0.05,0.038,0.216,0.185,0.051,0.083,0.31,0.103,0.149,0.55,0.02,0.024,0.002,0.098,0.216,0.15,0.033,0.02,0.158,0.18,0.02,0.2,0,0,0.157,0.009,0.104,0.11,0.148,0.174,0.11,0.056,0.0655,0,0.002,0.002,0,0.034,0,0.13,0.213,0.215,0.199,0.13
