nutrient_key,nutrient_label,unit,Ground beef (30% fat),Ground beef (20% fat),Ground beef (15% fat),Ground beef (10% fat),Ground beef (7% fat),Ground beef (4% fat),Ground bison,Ground lamb,Ground goat,Ground pork,Ground chicken,Ground turkey,Ground duck,Ribeye,Strip steak,Tenderloin,Sirloin,Flank,Skirt,Hanger,Chuck,Brisket,Short ribs,Back ribs,Round,Shank,Oxtail,Plate,Stew meat,Leg (lamb/goat),Shoulder (lamb/goat),Rack (lamb/goat),Chop (lamb/goat),Shank (lamb/goat),Pork loin,Pork tenderloin,Pork shoulder,Pork chop,Pork belly,Pork ribs,Fresh ham,Pork shank,Pork jowl,Whole chicken,Chicken breast,Chicken thigh,Chicken drumstick,Chicken wing,Whole turkey,Turkey breast,Turkey thigh,Whole duck,Duck breast,Duck leg,Atlantic salmon,Sockeye salmon,Coho salmon,Chinook salmon,Sardine,Tuna (skipjack),Tuna (albacore),Tuna (yellowfin),Cod,Haddock,Pollock,Halibut,Mackerel,Herring,Trout,Tilapia,Catfish,Anchovy,Shrimp,Prawn,Scallop,Mussel,Clam,Oyster,Crab,Lobster,Squid,Octopus,Beef liver,Beef heart,Beef kidney,Beef tongue,Beef brain,Beef spleen,Beef pancreas,Beef thymus (sweetbreads),Beef tripe,Lamb liver,Lamb heart,Lamb kidney,Pork liver,Pork heart,Pork kidney,Pork brain,Pork stomach,Chicken liver,Chicken heart,Chicken gizzard,Chicken egg,Egg white,Egg yolk,Scrambled egg (chicken),Fried egg (chicken),Duck egg,Turkey egg,Quail egg,Cow's milk,Cow's milk (2%),Cow's milk (1%),Cow's milk (skim),Goat milk,Sheep milk,Half and half,Light cream,Heavy cream,Butter,Ghee,Yogurt (plain),"Yogurt (plain, lowfat)","Yogurt (plain, nonfat)",Kefir (plain),Cottage cheese,Cheddar,Gouda,Gruyere,Parmesan,Mozzarella,Feta,Swiss,Beef tallow,Lamb tallow,Pork lard,Duck fat,Chicken fat,American cheese,Processed cheese slices,Cream cheese,Sour cream,Broccoli,Cauliflower,Cabbage,Brussels sprouts,Kale,Bok choy,Arugula,Radish,Turnip,Rutabaga,Mustard greens,Carrot,Celery,Parsnip,Fennel,Parsley,Dill,Cilantro,Garlic,Onion,Shallot,Leek,Scallion,Chive,Potato,Tomato,Bell pepper,Chili pepper,Eggplant,Zucchini,Cucumber,Pumpkin,Butternut squash,Acorn squash,Spaghetti squash,Watermelon,Spinach,Beet,Swiss chard,Quinoa,Amaranth,Lettuce,Endive,Radicchio,Artichoke,Lentil,Chickpea,Black bean,Kidney bean,Pinto bean,Soybean,Pea,Green bean,White rice,Brown rice,Wild rice,Oats,Wheat,Barley,Rye,Corn,Millet,Sweet potato,Yam,Cassava,Taro,Ginger,Turmeric,Apple,Banana,Orange,Tangerine,Lemon,Lime,Strawberry,Blueberry,Raspberry,Kiwi,Avocado,Olive,Mango,Pineapple,Papaya,Grapes,Pear,Peach,Apricot,Almond,Walnut,Pecan,Macadamia,Hazelnut,Pistachio,Brazil nut,Cashew,Pumpkin seed,Sunflower seed,Sesame,Chia,Flax,Hemp,Pine nut,Olive oil,Avocado oil,Coconut oil,Sesame oil,Palm oil,Bread,Whole wheat bread,Sourdough bread,Pita,Naan,Noodles,Soba noodles,Pasta,Sourdough pasta,Canola oil,Soybean oil,Sunflower oil,Safflower oil,Corn oil,Grapeseed oil,Peanut oil,Rice bran oil,Vegetable oil,White bread,Rye bread,Bagel,Tortilla (flour),Tortilla (corn),Hamburger bun,Hot dog bun,Sandwich roll,Bread crumbs,Panko,Crackers (plain),Rice cakes,Rice noodles,Udon noodles,Ramen noodles,Egg noodles,Whole wheat pasta,Couscous,Bulgur,Peanut butter,Almond butter,Tahini,Sunflower seed butter,Jam,Honey,Maple syrup,Tomato sauce,Tomato paste,Canned tomatoes,Coconut milk,Broth,Ketchup,Mustard,Mayonnaise,Soy sauce,Vinegar,Apple cider vinegar,Hot sauce,Pickles,White mushroom,Cremini,Portobello,Shiitake,Oyster mushroom,Maitake,Lion's mane,Nori,Kelp,Wakame,Dulse,Spirulina,Chlorella,Sauerkraut,Kimchi,Tempeh,Miso,Natto
vitamin_a_ug,Vitamin A,ug,4,4,4,4,4,4,,8,0,,0,,0,,,,,,2,0,,0,2,2,,0,,2,2,0,0,5,5,3,,,0,,,0,2,3,3,41,,,,,3939,0,13,50,16,24,12,49,56,136,0,16,,18,,17,3,,39,32,84,,,15,,,11,48,90,2,,,,,4968,0,89,0,7,0,0,0,0,15434,5,61,5252,8,59,0,0,3296,9,19,55,,,161,0,194,166,156,,,171,2,57,44,47,120,,684,,,6,,171,,316,165,271,40,113,125,306,0,0,0,0,0,,250,,90,31,0,5,38,,,119,20,579,,151,3423,22,0,48,421,386,337,,0,0,83,,218,0,862,18,29,1,,4,426,140,,6,28,469,316,306,1,,,108,1,1,7,2,22,0,0,,,,,,1,,0,1,1,,0,189,7,1,4,0,0,,17,21,13,0,2,0,1,0,,,60,,,18,3,,28,,,0,51,,,,,0,15,,,,,1,,,0,0,0,9,24,,0,0,,0,0,0,0,,,,84,,0,,0,0,0,0,0,0,0,,,,10,0,0,0,0,0,1,17,0,0,0,,,,,10,0,0,22,,,63,1,,151,2,0,0,0,129,10,0,0,0,,,0,,3428.7,6,18,214.2,3,17499.3,1,5,0,4,0
vitamin_c_mg,Vitamin C,mg,0,0,0,0,0,0,,0,0,,0,,0,,,,,,0,0,,27,0,0,,0,,0,0,0,0,0,0,0,,,0,,,0,0.9,0,0,1.6,,,,,0,0,0,2.8,6.2,5.8,0,0,1.1,4,0,1,,0,,0,0,,1.6,0,2.9,,,0,,,18,8,0,0,,,,0,1.3,2,0,3.1,10.7,45.5,13.7,34,0,0,0,0,3,5.3,13.3,13.5,0,17.9,3.2,3.7,11.2,,,0,0,0,0,0,,,3,0.9,1.3,4.2,0,0.8,,0,0,,33.9,,0.2,,,0,0,0,,0,30,0,0,0,0,0,,0,,0.9,89.2,48.2,36.6,85,,,15,28.9,60,,70,14.6,3.1,17,12,133,85,27,,,8,12,,58.1,3.8,116.7,80.4,68,2.2,,3.2,9,4.9,,2.1,8.1,28.1,30,30,,,,6.5,8,11.7,1.7,0,0.2,4.5,,,,,,,0,,0,0,0,,0,11,17.1,20.6,4.5,5,0.7,51.16,82.7,136,31,38.7,30,0.3,0.7,38.1,,0,0,168.1,58.61,3,6.5,5.511,30.2,3.071,,0,0,,200,,,0.5,1,,,,,0.5,,,0,0,0,0,0,,0,0,,0,0,0,0,,,,0,,0,,0,0,0,0.4,0,0,0,,,,2.7,0,0,0,0,0,0.3,0,0,0,0,,,,2.7,8.8,0.5,0,7,18.4,,0,0,,70,0,0,0,0,26.9,1,2.1,0,0,,,0,,17.1,3,3,8.6,0.9,20,14.7,0,0,0,13
vitamin_d_ug,Vitamin D,ug,0.1,0.1,0.1,0.1,0.1,0.1,,0,0,,,,0,,,,,,0.1,0,,,0.1,0.2,,,,0.1,0.1,,,0.1,0,0,,,,,,0.5,0.6,0.3,,0.2,,,,,0.8,0.2,0.3,0.7,,0.1,,14.1,,,8.3,,,1.7,,0.5,0.2,,7.3,,15.9,,,,,,0,0,0,0.7,,,,,1.2,,0.2,,,,,,0,0,0,0.1,,,,,0,0,,,0,,,1.8,0,1.7,,1.4,,,2.5,0,1.3,,0,1.1,,0,,0.217,0,0.217,1,,,0.5,0.6,0,,0.4,0,0.7,0.7,2.5,4.8,4.8,,0.6,,0.2,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,,0,0,0,,0,,0,,,,,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,,,1.1,,,0,,,0,,,0,0.1,,,,,0,,,,,,,,,,0,0,0,0.1,,0,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,,0,0,0,0.3,0,0,0,,,,0,0,0,,0,,,1,0,,0,0,0,0,0,,0,0.2,0.1,0.3,0.4,,28.1,,0,0,0,0,0,0,0,0,0,0,0
vitamin_e_mg,Vitamin E,mg,0.17,0.17,0.17,0.17,0.17,0.17,,0.24,0,,0.27,0.11,0,,,,,,0.17,0,,,0.17,,,,,0.17,0.15,,0.21,0.32,0.22,0.18,,,0.08,,,0.25,0.17,0.29,0.29,0.3,,,,,0.25,0.13,0.12,0.7,,0.7,,0.83,,1.22,,,,0.24,,0.45,0.49,,0.69,,2.34,,,0.57,,,0.13,0.55,0.68,0,,,,,0.38,0.22,0.82,,0.99,,,,0.09,0.86,0.65,0.42,,0.63,,,0.04,0.7,,0.33,0.37,,,1.15,1.95,1.34,,1.08,,,13.79,0,0.07,,0.12,0.12,,2.32,,,0.05,,0.02,,0.75,0.24,0.28,0.04,0.71,0.18,1.89,2.7,2.8,0.6,2.7,2.7,,0.8,,0.3,0.78,0.08,0.15,0.88,,,0.43,,2.86,,2.01,5.45,0.27,1.49,0.58,0.75,,2.5,,1.23,0.04,0.92,,0.21,0.25,12.25,0.37,0.34,0.3,,0.03,1.06,0.08,,0.13,0.05,2.03,1.5,1.89,2.44,,,0.44,2.26,0.19,,0.83,0.36,0.22,0.04,12.6,,,,,0.82,,,0.57,0.85,23.8,0.05,,0.35,0.19,2.38,0.26,4.43,,0.69,0.25,0.13,0.15,0.22,0,0.23,0.06,,,0.25,,,0.24,,,0.61,,16.67,0.4,0.8,,,,,0.9,,,0,,19.34,0.8,,,,0.11,1.4,2.91,0.47,0.57,0.21,,0.79,0.83,,0.11,0,18.3,12.6,68.48,22,23.8,28.8,15.23,32.3,3.81,0.4,0.33,0.81,0,0.28,,,,0.26,0.22,0.86,,0.03,0,2.44,0.37,1.41,,0.01,5.413,16.67,,22.89,0.13,0,,1.44,,,0,0.15,,2.01,2.4,0,0,0,4.8,0.09,0.01,0.01,0.02,,,0.01,,0,0.87,1,0,0.49,0,0.14,0.11,,0.01,0.01
vitamin_k_ug,Vitamin K,ug,2.9,1.8,1.3,0.8,0.5,0.1,,,0,,0.8,,0,,,,,,1.5,0,,,1.5,1.5,,,,1.5,1.5,,,,,,,,0,,,0,0,0,,1.5,,,,,0,0,0,5.5,,2.8,,0.1,,,,,,0.1,,0.1,0,,0.1,,0.1,,,0.1,,,3.3,0.1,0.2,0,,,,,3.1,0,,,0,,,,0,,,,,,,,0,0,,0,23.8,,,4,0,0.4,,0.3,,,0.1,0.2,0.3,,0.6,1.7,,7,,,0.4,,0.1,,2.4,2.3,2.7,0.4,22.2,1.8,830,0,0,0,0,0,,2.6,2.4,0.5,101.6,15.5,76,177,,,108.6,,251,,257.5,108,29.3,22.5,62.8,1640,,310,,50.6,0.8,47,,212.7,0,48.8,7.4,7.1,3.5,,7.2,1.1,2.4,,0.9,0.1,482.9,400,830,0,,20.5,231,255.2,14.8,,9.1,1.8,19,0.2,,,,,,1.9,,,2.2,5.9,,0.9,302.2,2.3,1.9,1,0.1,13.4,,9.5,,0,0,0.6,0,3.9,,,,3.4,,,0.8,,,,,0,15,15.5,,,,,34.1,,,1.713,,55.5,,3.2,,,0.6,13.6,4.3,6.8,,0.7,,,5.3,,0.1,0,,,6.925,24.7,,,4.263,24.7,24.7,0.3,1.2,5.2,7.2,0,,,,46,0.2,2.5,,0,0,8.9,0.5,27.2,,0.5,0,0,,,0,0,,2.8,,,0,0.2,,257.5,53.4,0,0,0,10.9,47,0,0,0,,,0,,0,66,5.3,0,2.5,0,13,43.6,,29.3,23.1
thiamin_mg,Thiamin (B1),mg,0.044,0.043,0.042,0.042,0.041,0.041,,0.059,0,,0.109,,0,,,,,,0.055,0,,0.043,0.08,0.089,,0.1,,0.055,0.08,0.14,0.11,0.061,0.119,0.101,,,0.645,,,0.394,0.875,0.522,0.386,0.06,,,,,0.149,0.038,0.062,0.197,0.416,0.36,0.226,0.132,0.09,0.054,0,0.033,,0.118,,0.02,0.03,,0.13,0.06,0.12,,,0.055,,,0.07,0.16,0.015,0.125,,,,0.03,0.189,0.238,0.559,0.125,0.092,0.05,0.14,0.109,0,1.21,0.52,0.413,0.212,0.613,0.34,0.155,0.051,0.305,0.152,0.028,0.24,,,0.04,1.277,0.156,0.11,0.13,,,0.167,0.048,0.048,0.065,0.03,0.023,0.031,0.005,,,0.03,,0.03,0.047,0.029,0.03,0.06,0.05,0.073,0.154,0.04,0,0,0,0,0,,0.015,0.03813,0.04,0.071,0.05,0.061,0.139,,,0.044,0.102,0.07,,0.08,0.534,0.021,0.09,0.01,0.086,0.058,0.067,,0.12,0.06,0.06,,0.078,0.228,0.913,0.057,0.03,0.039,,0.031,0.05,0.06,,0.037,0.033,0.078,0.1,0.04,0.36,,0.05638,0.08,0.016,0.072,0.07,0.486,0.042,0.529,0,,,,,,0.115,0.3338,0.419,0.646,0.316,,0.421,0.156,0.112,0.087,0.095,0.025,0.058,0,0.081,0.12,0.06,0.024,0.025,0.003,0.023,0.25,,,0.295,,0.06375,0.006,,,0.06,,0.09456,0,0.204,,,,,0.423,0.08,,0.9928,0.5,,1.275,0.6253,,0,0,0,0.047,0.188,,0.71,0.267,0.78,0.567,0.48,0.09,0,,,,0,,0,,0,0,0.812,0.434,0.523,0.503,0.094,,,,0.961,0.533,0.453,0.056,0.018,0,0.448,1.133,0.182,0.163,0.057,0.1206,0.09456,,0.053,0,0,0.066,0.024,,,0,0,,0.08,0.05,0.059,0,0,0.077,0,0.081,0.095,0.059,0.015,0.07,0.146,0.1463,0,0.05,0.06,0,0.222,0,0.021,0.01,0.078,0.098,0.16
riboflavin_mg,Riboflavin (B2),mg,0.151,0.151,0.151,0.151,0.151,0.151,,0.176,0,,0.241,,0,,,,,,0.285,0,,0.157,0.2,0.249,,0.22,,0.285,0.17,0.38,0.22,0.178,0.154,0.103,,,0.465,,,0.271,0.228,0.343,0.236,0.12,,,,,1.393,0.145,0.255,0.21,0.31,0.45,0.38,0.207,0.11,0.113,0,0.1,,0.115,,0.057,0.08,,0.17,0.2,0.09,,,0.256,,,0.03,0.21,0.04,0.349,,,,0.04,2.755,0.906,2.116,0.34,0.199,0.37,0.445,0.345,0.064,4.21,0.537,1.279,2.227,1.185,1.697,0.275,0.201,1.778,0.728,0.231,0.17,,,0.376,0.362,0.404,0.47,0.79,,,0.262,0.234,0.138,0.355,0.194,0.19,,0.034,,,0.1,,0.135,,0.441,0.334,0.279,0.05,0.26,0.844,0.09,0,0,0,0,0,,0.234,,0.12,0.117,0.06,0.04,0.09,,,0.086,0.103,0.1,,0.11,0.417,0.057,0.05,0.032,0.098,0.296,0.162,,0.07,0.02,0.03,,0.115,0.051,0.761,0.028,0.03,0.037,,0.025,0.11,0.06,,0.018,0.021,0.189,0.22,0.09,0.318,,,0.075,0.028,0.066,0.045,0.106,0.039,0.219,0,,,,,,0.262,,0.121,0.285,0.251,,0.29,0.345,0.032,0.048,0.025,0.034,0.15,,0.054,0.09,0.02,0.015,0.015,0.11,0.034,0.34,,,0.26,,,0.004,1.5,,0.02,,,0,0.078,,,,,0.058,0.07,,,,,0.285,,,0,0,0,0.06,0.106,,0.427,0.097,0.51,0.397,0.13,0.06,0,,,,0,,0,,0,0,0.512,0.335,0.337,0.282,0.065,,,,0.415,0.243,0.236,0.103,0.004,0,0.255,0.426,0.021,0.078,0.028,,,,0.163,0.022,0.038,1.27,0.065,,,0,0.03,,0.11,0.04,0.152,0,0,0.222,0.01,0.402,0.49,0.13,0.217,,0.242,,0,0.15,0.23,0,0.342,0,0.022,0.21,0.358,0.233,0.19
niacin_mg,Niacin (B3),mg,3.382,4.227,4.649,5.072,5.325,5.663,,5.011,0,,5.575,,0,,,,,,5.282,0,,3.66,3.567,4.388,,5.74,,5.282,5.19,6.86,6.09,5.208,5.397,4.465,,,9.602,,,3.097,5.338,6.273,4.535,6.801,,,,,8.694,7.15,5.696,3.934,3.444,5.3,7.86,8.507,6.813,8.42,0,15.4,,18.475,,3.363,0.653,,2.3,2.2,5.567,,,14.024,,,0.6,1.6,0.35,4.956,,,,2,13.175,7.53,4.878,4.24,3.55,8.4,4.45,3.452,0.881,13.7,5.757,8.426,11.768,6.765,8.207,4.275,2.48,9.728,4.883,3.68,3.63,,,0.076,12.766,0.2,0.024,0.15,,,1.427,0.124,0.277,0.417,0.109,0.09,,0.042,,,0.27,,0.15,,0.052,0.063,0.106,0.2,0.66,0.991,0.4,0,0,0,0,0,,0.076,0.0925,0.07,0.639,0.507,0.234,0.745,,,0.305,2.853,0.6,,0.8,6.567,0.32,0.7,0.64,1.313,1.57,1.114,,0.863,0.2,0.4,,0.647,3.507,9.133,0.48,0.7,0.649,,0.037,0.6,0.56,,0.95,0.178,0.724,0.4,0.4,1.52,,0.2175,0.4,0.255,1.046,0.545,1.762,0.41,2.06,0.097,,,0.7,,,6.733,0.9263,6.738,4.604,4.27,,4.72,1.13,0.552,0.854,0.6,0.75,1.35,0.01031,1.242,0.9,0.1,0.091,0.142,0.073,0.091,3.89,,,1.835,,0.2275,0.15,,,0.2,,3.909,0,1.31,,,,,1.062,1.2,,5.813,8.678,,9.2,4.466,,0,0,0,1.615,1.25,,4.817,2.142,5.84,4.717,3.21,1.7,0,,,,0.005,,0,,0,0,7.554,3.805,7.66,4.415,1.498,,,,6.161,4.78,3.818,8.096,0.072,0,5.401,8.387,4.63,3.49,1,17.2,3.909,,6.747,0.036,0.121,0.081,0.991,,,0,1.37,,0.8,0.09,3.951,0,0,1.248,0,3.607,3.8,4.494,3.877,5.751,6.585,1.626,0,0.47,1.6,0,1.196,0,0.143,1.1,2.64,0.906,0
vitamin_b5_mg,Pantothenic acid (B5),mg,0.395,0.498,0.549,0.601,0.632,0.673,,0.156,0,,1.092,,0,,,,,,0.64,0,,0.57,0.74,,,0.35,,0.64,0.67,0.51,0.69,0.604,0.525,0.467,,,0.982,,,1.737,0.805,0.622,0.25,0.91,,,,,3.889,0.32,0.935,0.951,0.77,1.6,1.664,1.07,1.14,0.75,0,0.42,,0.28,,0.403,0.237,,0.75,1,1.667,,,0.645,,,0.102,0.5,0.148,1.294,,,,,7.173,1.79,3.974,0.653,2.01,1.081,3.9,3.026,0.227,5.57,2.244,3.207,3.536,2.515,3.13,2.8,1.22,6.233,2.559,0.631,0.66,,,1.217,,1.862,1.889,1.761,,,0.71,0.641,0.31,0.407,,0.44,,0.11,,,,,0.385,,0.413,0.34,0.562,,0.41,0.967,0.172,0,0,0,0,0,,0.403,,,0.573,0.667,0.212,0.309,,,0.437,0.733,0.38,,0.21,1.471,0.246,0.6,0.232,0.4,0.397,0.57,,0.38,0.29,0.14,,0.324,0.474,3.76,0.099,,0.281,,0.24,0.298,0.314,,0.36,0.221,0.065,0.25,0.172,0.772,,,0.9,0.269,0.338,0.14,0.606,0.16,0.78,0.2,,,,,,1.074,,0.935,0.282,1.456,,0.848,0.225,0.314,0.107,0.303,0.203,0.542,,0.265,0.49,0.125,0.131,0.123,0.001,0.092,2.7,,,0.77,,,0.054,,,0.05,,,0,0.391,,,,,0.864,0.75,,,,,,,,0,0,0,0.201,0.817,,0.455,0.397,0.445,,0.954,0.431,0,,,,0.297,,0,,0,0,0.438,0.44,0.467,0.562,0.109,,,,0.623,0.536,,1.16,0.011,0,0.438,0.912,0.832,1.243,0.344,,,,1.167,0.02,0.068,,0.309,,,,,,0.21,0.124,0.376,0,0,0.38,0.038,1.497,1.5,1.14,1.5,,0.27,,0,0.642,0.697,0,0.325,0,0.093,,0.278,0.337,0.215
vitamin_b6_mg,Vitamin B6,mg,0.278,0.323,0.346,0.369,0.383,0.401,,0.132,0,,0.512,,0,,,,,,0.44,0,,0.29,0.311,0.417,,0.47,,0.44,0.568,0.13,0.13,0.246,0.16,0.101,,,0.722,,,0.577,0.5,0.531,0.09,0.35,,,,,0.654,0.41,0.44,0.19,0.63,0.34,0.818,0.731,0.66,0.4,0,0.85,,0.933,,0.281,0.069,,0.4,0.45,0.34,,,0.143,,,0.109,0.05,0.01,0.11,,,,,1.083,0.279,0.316,0.31,0.226,0.07,0.2,0.16,0.014,0.218,0.144,0.173,0.47,0.39,0.44,0.19,0.034,0.853,0.36,0.112,0.287,,,0.134,0.851,0.25,0.131,0.15,,,0.132,0.053,0.046,0.06,0.05,0.044,,0.003,,,0.12,,0.058,,0.069,0.08,0.081,0.1,0.067,0.424,0.099,0,0,0,0,0,,0.054,0.03925,0.02,0.175,0.184,0.124,0.219,,,0.073,0.285,0.263,0.1988,0.18,1.04,0.074,0.09,0.047,0.09,0.185,0.149,,0.089,0.345,0.233,,0.138,0.769,0.457,0.224,0.14,0.084,,0.051,0.061,0.11,,0.101,0.045,0.195,0.106,0.099,0.487,,0.04013,0.02,0.057,0.116,0.09,0.492,0.07,0.397,0.036,,,,0.051,,0.391,0.1189,0.419,0.318,0.294,,0.384,0.19,0.293,0.088,0.283,0.16,0.107,0.01388,0.357,0.176,0.042,0.046,0.038,0.002,0.029,0.25,,0.1674,0.23,0.1081,0.1101,0.009,,,0.037,,0.08375,0,0.038,,,,,0.417,0.12,,0.5953,0.2024,,0.6,0.2546,,0,0,0,0.31,0.232,,0.107,0.034,0.095,0.043,0.24,0.142,0,,,,0.577,,0,,0,0,0.037,0.075,0.117,0.059,0.219,,,,0.171,0.087,0.158,0.13,0.006,0,0.038,0.216,0.185,0.11,0.083,0.3805,0.08375,,0.55,0.02,0.024,,0.098,,,0,0.01,,0.18,0.02,0.2,0,0,0.455,0.009,0.104,0.11,0.148,0.293,0.09888,0.056,0.0655,0,0.002,0.002,0,0.034,0,0.13,0.213,0.215,0.199,0.13
